Country,Document.Name,Publisher.Organization,Year,Link,Summary,Thematic.Areas,Main_Category,Publisher_Origin,Publisher_Region
Nigeria,Enforceability of Smart Contracts in the Nigerian Legal System,Lagos State University Law Journal,2022,https://www.researchgate.net/publication/360293404,"Explores the challenges of integrating smart contracts into Nigeria's legal framework, focusing on issues of contract formation, interpretation, and remedies.",Law & Jurisprudence,"Regulation, Law & Compliance",International,International
Tunisia,Foreign Exchange Legislation Amendment,Government of Tunisia,2024,https://www.researchgate.net/publication/391811191_THE_LEGAL_REGULATION_OF_DIGITAL_CURRENCIES_AND_ITS_IMPACT_ON_COMMERCIAL_ACTIVITIES_A_COMPARATIVE_STUDY_BETWEEN_ALGERIA_EGYPT_TUNISIA_AND_SAUDI_ARABIA,"Previously banned, Tunisia amended its foreign exchange legislation in March 2024 to permit the use and exchange of digital currencies under specific conditions, subject to Central Bank authorization.",Regulation,"Regulation, Law & Compliance",International,African
Rwanda,Taxing Rwanda’s Digital Economy: A Reflection Paper,Rwanda Revenue Authority (RRA),2021,https://www.rra.gov.rw/fileadmin/user_upload/13._taxing_rwandas_digital_economy_a_reflection_paper.pdf,"Discusses tax policy for digital assets and platforms, includes considerations for virtual goods and currencies.","Tax Policy, Digital Assets",Taxation,International,African
Rwanda,UN General Assembly Statement by H.E. Paul Kagame,Government of Rwanda / UN,2018,https://www.rwandainun.gov.rw/fileadmin/user_upload/UN_userupload/Statements/2.General_Assembly/H.E_Paul_Kagame._GA_73rd_Session__25_Sept_2018..pdf,"President Kagame speaks at UNGA 73, touching upon technology adoption and potential of digital innovations.","Digital Innovation, Tech Diplomacy",Innovation & Adoption Trends,International,African
Rwanda,June 2021 Newsletter,Rwandan Embassy in USA,2021,https://www.rwandainun.gov.rw/fileadmin/user_upload/USA_user_uploads/Newsletters/June_2021_Newsletter.pdf,"Newsletter includes updates on Rwanda’s digital economy initiatives, possibly crypto-related developments.","Digital Economy, Tech Policy",Digital Economy & Tech Policy,International,African
South Africa,SARS Position Paper on Crypto Assets,South African Revenue Service (SARS),2021,https://www.sars.gov.za/wp-content/uploads/IFWG-CAR-WG-Position-paper-on-crypto-assets.pdf,"Details tax treatment, reporting requirements, and compliance for crypto transactions in South Africa.","Taxation, Compliance",Taxation,International,African
Rwanda,NSDS4 (National Strategy for Data and Statistics) 2024–2029,National Institute of Statistics of Rwanda,2024,https://www.statistics.gov.rw/sites/default/files/documents/2025-05/NSDS4%20(2024_2029).pdf,Lays out Rwanda’s data strategy with potential references to blockchain for data integrity and transparency.,"Data Governance, Blockchain Potential",Blockchain & Digital Infrastructure,International,African
Nigeria,The Metaverse: A Wild West of Opportunities for a New Generation of Nigerians,Stears Business,2022,https://www.stears.co/articles/the-metaverse-a-wild-west-of-opportunities-for-a-new-generation-of-nigerians/,An in-depth analysis of how young Nigerians are engaging with metaverse platforms and P2E gaming as both a social space and an economic opportunity.,Gaming & Metaverse,Sector-Specific Applications,International,International
Zimbabwe,Cryptocurrency as a response to hyperinflation: A case study of Zimbabwe,Review of African Political Economy,2022,https://www.tandfonline.com/doi/abs/10.1080/03056244.2022.2132616,Explores how citizens in a state with chronic political and economic instability use cryptocurrencies as a form of political and financial resistance against hyperinflation.,Political Science & Regional Integration,Regional Integration & Geopolitics,International,African
South Africa,From Stokvels to Stablecoins: The Digital Transformation of South African Savings Groups,Journal of Cultural Economy,2024,https://www.tandfonline.com/doi/full/10.1080/17530350.2023.2289659,"An ethnographic study on how some South African stokvels are experimenting with using stablecoins to save and invest, changing their internal social dynamics.",Digital Anthropology & Sociology,Financial Inclusion & Social Impact,International,International
DRC,Virunga National Park Uses a Bitcoin Mine to Save Endangered Gorillas,MIT Technology Review,2023,https://www.technologyreview.com/2023/02/13/1067970/virunga-national-park-bitcoin-mine-gorillas/,A case study on how a hydro-powered Bitcoin mine is generating revenue to fund park rangers and conservation efforts at a UNESCO World Heritage site.,Energy & Environmental Impact,Environmental & Energy Impact,International,International
Africa,The NFT boom: a new frontier for African art or a bubble?,The Africa Report,2022,https://www.theafricareport.com/177065/the-nft-boom-a-new-frontier-for-african-art-or-a-bubble/,"A critical analysis of the pros and cons of the NFT market for African creators, weighing the opportunity for global access against the risks of market volatility.","Art, Culture & NFTs",Sector-Specific Applications,International,African
Morocco,Proposed Regulatory Framework,Government of Morocco,2025,https://www.tradingview.com/news/coinpedia:f07fbdb83094b:0-crypto-regulations-in-morocco-2025/,"The use of cryptocurrencies can lead to penalties and fines. However, the government is preparing a new regulatory framework and tax structure for 2025 to legalize and oversee crypto activities.","Ban, Regulation, Taxation, Policy",Taxation,International,African
Africa,The AfCFTA and the challenge of digital payments,Trade Law Centre (TRALAC),2023,https://www.tralac.org/blog/article/15948-the-afcfta-and-the-challenge-of-digital-payments.html,A policy analysis of the payment system challenges facing the AfCFTA and a discussion of how digital currencies could fit into the Pan-African Payment and Settlement System (PAPSS).,Political Science & Regional Integration,Regional Integration & Geopolitics,International,International
Kenya,Draft National Policy on VAs and VASPs,National Treasury of Kenya,2024,https://www.treasury.go.ke/wp-content/uploads/2025/01/DRAFT-NATIONAL-POLICY-ON-VAs-AND-VASPs.pdf,Proposes a regulatory framework for virtual assets and service providers using blockchain and cryptographic tools.,"Regulatory Framework, Blockchain Policy","Regulation, Law & Compliance",International,African
South Africa,Crypto Assets FAQs,National Treasury / IFWG,2021,https://www.treasury.gov.za/comm_media/press/2021/IFWG_CAR%20WG_Crypto%20assets%20FAQs_Final.pdf,"Offers public guidance on crypto asset definitions, use cases, and treatment under existing laws.","Regulatory Clarification, Public Guidance","Regulation, Law & Compliance",International,International
UNDP,Cryptocurrency in Africa: Alternative Opportunities for Advancing the Sustainable Development Goals?,United Nations Development Programme (UNDP),2022,https://www.undp.org/sites/g/files/zskgke326/files/2023-01/UNDP-DFS-Cryptocurrency-in-Africa_0.pdf,"Explores the role of digital entrepreneurship in Africa's sustainable development, identifying promising sectors and challenges.","Digital Entrepreneurship, Sustainable Development",Innovation & Adoption Trends,International,International
Africa (Continent-wide),Economic Report on Africa 2024: Investing in a just and sustainable transition for Africa,UNECA (UN Economic Commission for Africa),2024,https://www.uneca.org/sites/default/files/2024-03/era2024-en.pdf,"The flagship report from UNECA. While broad, its chapters on innovative financing and digital transformation discuss the role of new financial technologies, including blockchain, in Africa's development.",Economic Impact & Remittances,Economic & Financial Impact,International,African
Africa,The Rise of Blockchain Education in African Universities,University World News,2024,https://www.universityworldnews.com/post.php?story=20240118130825313,"An article surveying the growing number of computer science and business faculties in Nigeria, Kenya, and South Africa that are introducing blockchain modules and courses.",Education & Curriculum Development,Financial Inclusion & Social Impact,International,International
Angola,Law on the Prohibition of Mining of Cryptocurrencies and Other Virtual Assets,Government of Angola,2024,https://www.verangola.net/va/en/022024/Politics/39056/Divided-Parliament-Approves-Ban-on-Cryptocurrency-Mining.htm,"A law was approved in February 2024 to ban cryptocurrency mining and related activities, with prison sentences of 1 to 12 years, citing concerns over monetary sovereignty and high energy consumption.",Ban,"Regulation, Law & Compliance",International,African
Global,The Role of Blockchain Technology in the Fight Against Counterfeit Medicines,World Health Organization (WHO),2022,https://www.who.int/publications/i/item/9789240052304,A WHO landscape analysis on using blockchain for drug traceability. It provides a global framework and set of standards relevant to any African implementation.,Public Health & Healthcare,Sector-Specific Applications,International,International
World Bank,The Global Findex Database 2021,World Bank,2021,https://www.worldbank.org/en/publication/globalfindex/Report,"Definitive source of data on global access to financial services, highlighting mobile money's role in Sub-Saharan Africa's financial inclusion.","Financial Inclusion, Mobile Money",Financial Inclusion & Social Impact,International,International
Global,The economics of the metaverse,Deloitte,2023,https://www2.deloitte.com/content/dam/Deloitte/ch/Documents/innovation/deloitte-ch-the-economics-of-the-metaverse.pdf,A global report from Deloitte on the potential economic impact of the metaverse. Its frameworks for analyzing value creation are directly applicable to the emerging African context.,Gaming & Metaverse,Sector-Specific Applications,International,International
Africa (Continent-wide),Central Bank Digital Currencies: The future of money in Africa,Deloitte,2022,https://www2.deloitte.com/content/dam/Deloitte/za/Documents/za-future-of-payments-pov3-central-bank-digital-currencies-the-future-of-money-in-africa.pdf,A report that explores the motivations for CBDC development on the continent and outlines potential models and strategic considerations for central banks.,CBDCs & State-Sponsored Crypto,CBDC & Monetary Policy,International,International
Gabon,How to buy Bitcoin in Gabon,Government of Gabon,2022,https://yellowcard.io/blog/how-to-buy-bitcoin-in-gabon/,"No legal status for cryptocurrencies and no specific regulation. As a member of the Bank of Central African States (BEAC), Gabon's market is open to bitcoin transactions, but the regional bank has not articulated a specific policy.",Regulation,"Regulation, Law & Compliance",International,African
Zambia,Strategic Plan 2024–27 (crypto/stablecoins),Bank of Zambia,2024,https://zambia-legal.com/boz-to-develop-and-implement-a-regulatory-framework-for-crypto-assets-and-stablecoins/,Mandates development of regulatory framework for crypto assets and stablecoins; CBDC exploration; integrated in NPS Vision 2023–27.,"Crypto Regulation, CBDC Exploration, Fintech",CBDC & Monetary Policy,International,African
Botswana,"Virtual Assets Act, 2022",Parliament of Botswana,2022,https://botswanalaws.com/wp-content/uploads/2022/02/Virtual-Asset-Act-2022.pdf,"The official legal text establishing a comprehensive regulatory framework for virtual assets, service providers, and licensing requirements in Botswana.","Regulatory Framework, Legal Recognition, Licensing","Regulation, Law & Compliance",International,African
Botswana,Financial Stability Report 2023,Bank of Botswana,2024,https://www.bankofbotswana.bw/sites/default/files/2024-05/FSR-2023.pdf,Official 2023 report that discusses risks and opportunities from fintech and digital assets within the broader financial system.,"Financial Stability, Fintech Innovation, Risk Management",Economic & Financial Impact,International,African
Zambia,Crypto real-life simulations for policy formation,Ministry of Science & Technology / BoZ / SEC,2023,https://www.coindesk.com/policy/2023/04/26/zambia-to-test-tech-for-regulating-crypto-minister-says/,A news report describing the government's initiative to test cryptocurrency use-cases in a controlled environment (sandbox) to inform future policy.,"Regulatory Testing, Policy Formation, Fintech Sandbox",Innovation & Adoption Trends,International,African
Zambia,SEC cautionary notice on cryptocurrencies,Zambia Securities & Exchange Commission,2018,https://www.sec.gov.zm/wp-content/uploads/2022/02/SEC-Public-Notice-on-Cryptocurrencies-1.pdf,The official public notice from the securities regulator warning citizens about the risks associated with investing in unregulated cryptocurrencies.,"Investor Protection, Regulatory Warning","Risk, Security & Consumer Protection",International,African
Central African Republic,BTC legal tender reversal,National Legislature / COBAC,2023,https://www.reuters.com/technology/central-african-republic-scraps-bitcoin-legal-tender-2023-03-24/,"A news report detailing the legislative repeal of Bitcoin as legal tender, highlighting the influence of regional banking regulators and economic pressures.","Legal Tender Policy, Regulatory Reversal, Monetary Sovereignty","Regulation, Law & Compliance",International,International
West Africa,GIABA Report on Money Laundering Risks of Virtual Assets,GIABA / ECOWAS,2021,https://www.giaba.org/media/f/728_GIABA-VAs-ML-TF-Risk-Report-2021.pdf,The official report from the Inter-Governmental Action Group against Money Laundering in West Africa on the risks posed by virtual assets.,"AML/CFT, Regional Governance, Risk Assessment","Risk, Security & Consumer Protection",International,African
East Africa,East Africa’s divergent crypto paths,The EastAfrican,2023,https://www.theeastafrican.co.ke/tea/business/east-africa-s-divergent-crypto-paths-4251786,"A news analysis highlighting the different regulatory approaches in the EAC, from Kenya's progressive stance to Uganda's caution.",Regulatory Divergence,"Regulation, Law & Compliance",International,African
Morocco,Morocco’s Draft Crypto Regulation & CBDC Plans,Bank Al-Maghrib / Reuters,2023,https://www.reuters.com/technology/moroccos-central-bank-drafts-crypto-regulation-bill-governor-says-2023-07-26/,A news report on the central bank's announcement of a forthcoming crypto bill to replace the 2017 ban and its exploration of a CBDC.,"Regulatory Framework, CBDC Exploration, Policy Shift",CBDC & Monetary Policy,International,International
Senegal,Senegal’s Blockchain and Digital Currency Initiatives,World Bank / IMF Reports,2023,https://www.imf.org/-/media/Files/Publications/CR/2023/English/1SNGEA2023001.ashx,"An IMF country report on Senegal's economy, with sections discussing the country's cautious exploration of digital financial innovation.","Fintech Innovation, Economic Policy",Innovation & Adoption Trends,International,International
Tunisia,Tunisia’s Crypto Regulation and Sandbox Pilot Projects,Central Bank of Tunisia / Reuters,2023,https://www.reuters.com/technology/tunisia-central-bank-urges-caution-crypto-trading-2023-05-31/,"A news report on the central bank's stance, which combines a warning on crypto trading with an exploration of blockchain via sandboxes.","Regulatory Sandbox, Policy Stance","Regulation, Law & Compliance",International,African
Mauritius,Virtual Asset and Initial Token Offerings Act 2021,Mauritius Financial Services Commission (FSC),2021,https://www.fscmauritius.org/media/11059/fa-22-gn-229-of-2022.pdf,Official Gazette notice detailing the entry into force of the comprehensive act regulating virtual assets and token offerings.,"Regulatory Framework, Legal Recognition, Licensing","Regulation, Law & Compliance",International,African
Mauritius,Custodian Services (Digital Asset) Licence,Mauritius FSC,2019,https://www.fscmauritius.org/media/2057/guidance-note-custodian-services-digital-asset.pdf,Official guidance note from the regulator establishing the framework for licensing custodians of digital assets.,"Licensing, Custodian Services, Financial Infrastructure",Blockchain & Digital Infrastructure,International,African
Mauritius,Bank of Mauritius Statement on Virtual Currencies,Bank of Mauritius (BoM),2021,https://www.bom.mu/media/media-releases/communiques/public-notice-bank-mauritius-cautions-public-risks-associated-virtual,"The central bank's most recent public notice available, cautioning citizens on the risks associated with virtual currencies while promoting its own CBDC plans.","Central Bank Policy, Investor Warning, CBDC",CBDC & Monetary Policy,International,African
Mauritius,Blockchain Accelerator for Africa Launch,Chaintum.io,2024,https://www.globenewswire.com/news-release/2024/02/21/2832810/0/en/Chaintum-io-Launches-Blockchain-Accelerator-for-Africa-Based-in-Mauritius.html,"A news release announcing the launch of a blockchain startup accelerator, positioning Mauritius as a hub for crypto innovation in Africa.","Blockchain Innovation, Startup Ecosystem",Sector-Specific Applications,International,International
Mauritius,International Fintech Cooperation & GFIN Membership,Mauritius FSC,2024,https://www.fscmauritius.org/en/media-corner/news/fsc-mauritius-admitted-as-a-member-of-the-global-financial-innovation-network-gfin,Official announcement of Mauritius's FSC joining the Global Financial Innovation Network (GFIN) to enhance cross-border regulatory cooperation.,"International Cooperation, Regulatory Harmonization",Regional Integration & Geopolitics,International,African
African Union,Digital Transformation Strategy for Africa (2020-2030),African Union Commission,2020,https://au.int/sites/default/files/documents/38507-doc-dts-english.pdf,"The foundational AU strategy document outlining the vision for a continent-wide single digital market, including financial services.","Digital Finance, Pan-African Policy",Regional Integration & Geopolitics,International,African
African Union,AU Model Law on Electronic Transactions,African Union Commission,2018,https://au.int/sites/default/files/treaties/36413-treaty-rev.11_-_model_law_on_electronic_transactions_e.pdf,Direct PDF of the model law designed to help member states harmonize their legal frameworks for e-transactions.,"Legal Framework, Regulatory Harmonization","Regulation, Law & Compliance",International,African
African Union,Pan-African Payment and Settlement System (PAPSS),PAPSS,2024,https://papss.com/,"The official website of the PAPSS system, a key piece of pan-African financial infrastructure designed to facilitate intra-African trade.","Payment Systems, Cross-border Trade, Financial Infrastructure",Regional Integration & Geopolitics,International,International
African Union,AU Financial Institutions,African Union Commission,2024,https://au.int/en/organs/fi,"An overview of the AU's key financial institutions, which are central to continent-wide policy on digital finance and currency.","Pan-African Policy, Governance",Regional Integration & Geopolitics,International,African
Pan-Africa,African Continental Free Trade Area (AfCFTA) Protocol,African Union,2018,https://au.int/sites/default/files/treaties/36437-treaty-consolidated_text_on_cfta_-_en.pdf,"The consolidated legal text of the AfCFTA agreement, which has major implications for harmonizing payments and digital trade.","Trade Policy, Economic Integration","Regulation, Law & Compliance",African,African
Pan-Africa,African Fintech Festival Reports,Pan-African Fintech Forum,2023,https://afrifintech.org/,"The official website for the Africa Fintech Festival, a key forum that brings together regulators, fintechs, and investors to discuss innovation.","Fintech Policy, Innovation, Public-Private Dialogue",Digital Economy & Tech Policy,International,African
Kenya,Draft Digital Asset Regulatory Framework,Capital Markets Authority (CMA) Kenya,2023,https://www.cma.or.ke/index.php?option=com_phocadownload&view=category&id=162,Link to the CMA's publications page containing the draft regulatory framework for public consultation.,"Crypto Regulation, Consumer Protection, Policy Formation","Risk, Security & Consumer Protection",International,African
Uganda,"National Payment Systems (Agents) Regulations, 2021",Bank of Uganda,2021,https://www.bou.or.ug/bouwebsite/export/sites/bou/bou-downloads/acts/NPS-Agent-Regulations-2021.pdf,"Regulations governing digital payment agents, which indirectly affect crypto on-ramps. A direct crypto framework is not yet public.","Payment Systems, Regulation","Regulation, Law & Compliance",International,African
Rwanda,National Strategy for Transformation (discusses ICT/Fintech),Government of Rwanda,2017,https://www.minecofin.gov.rw/fileadmin/user_upload/Minecofin/Publications/REPORTS/National_Strategy_for_Transformation__NST1_Final_Print.pdf,"The foundational policy document for Rwanda's development, including goals for digital transformation. Specific crypto policy is still under development.","National Policy, Digital Transformation","Regulation, Law & Compliance",International,African
Tanzania,Public Warning on Virtual Assets,Bank of Tanzania,2019,https://www.bot.go.tz/Publications/OtherPublications/Public%20Notice%20on%20Virtual%20Currencies%202019.pdf,The official public notice from the central bank cautioning citizens against the use of cryptocurrencies.,"Investor Warning, Regulatory Stance","Risk, Security & Consumer Protection",International,African
East Africa (EAC),EAC Vision 2050 (Digital Transformation section),East African Community (EAC),2024,https://www.eac.int/eac-vision-2050,"The high-level strategy document for the region. A specific, harmonized EAC crypto framework is still in the early discussion stages.","Regional Policy, Digital Transformation","Regulation, Law & Compliance",International,African
West Africa,ECOWAS Commission Urges Caution on Crypto,ECOWAS,2022,https://www.premiumtimesng.com/news/top-news/533352-ecowas-commission-cautions-citizens-against-investment-in-cryptocurrencies.html,A news report on the ECOWAS Commission's official statement advising citizens to be cautious with crypto investments.,"Regional Policy, Investor Warning","Risk, Security & Consumer Protection",African,African
Nigeria,CBN Guidelines on Bank Accounts for Virtual Asset Providers,Central Bank of Nigeria (CBN),2023,https://www.cbn.gov.ng/out/2023/fprd/guidelines%20on%20operations%20of%20bank%20accounts%20for%20virtual%20asset%20providers.pdf,The official PDF of the guidelines that reversed the 2021 banking ban and set new rules for Virtual Asset Service Providers (VASPs).,"Crypto Regulation, Banking, AML/CFT","Regulation, Law & Compliance",International,African
Ghana,Bank of Ghana to license VASPs under new guidelines,Bank of Ghana,2024,https://www.myjoyonline.com/bog-to-license-and-approve-all-virtual-asset-service-providers-vasps/,A news report detailing the central bank's plans to formally license and supervise Virtual Asset Service Providers.,"Crypto Regulation, Licensing, VASP","Regulation, Law & Compliance",African,African
Morocco,Morocco Crypto Ban & Regulatory Statement,Bank Al-Maghrib,2017,https://www.oc.gov.ma/sites/default/files/2021-10/Communique_Virtual_Currencies_2017.pdf,The original public notice from Moroccan authorities announcing the ban on cryptocurrency transactions (in French).,"Crypto Ban, Regulatory Stance","Regulation, Law & Compliance",International,International
Tunisia,CMF Publishes White Paper on Crypto-Asset Regulation,Financial Market Council (Tunisia),2023,https://www.ilboursa.com/marches/le-cmf-publie-un-white-paper-sur-la-reglementation-des-crypto-actifs-en-tunisie_38114,A news report on the publication of a white paper by the financial regulator to form the basis of new crypto regulations.,"Policy Formation, Regulatory Framework","Regulation, Law & Compliance",International,International
Central Africa,BEAC Reminds of Crypto Ban in CEMAC Zone,Bank of Central African States (BEAC),2022,https://www.beac.int/wp-content/uploads/2022/05/communique-de-presse-relatif-a-la-monnaie-electronique-et-aux-crypto-actifs.pdf,An official press release from the regional central bank reminding member states of the ban on cryptocurrencies (in French).,"Regional Regulation, Crypto Ban","Regulation, Law & Compliance",International,African
Cameroon,COSUMAF Regulation on Crypto-Assets in CEMAC,COSUMAF,2022,https://www.financialafrik.com/2022/07/26/le-regulateur-du-marche-financier-de-lafrique-centrale-interdit-les-crypto-monnaies/,"A news analysis of the stance of the regional financial market regulator for Central Africa, which prohibits crypto.","Regional Regulation, Crypto Ban","Regulation, Law & Compliance",International,International
South Africa,Declaration of crypto assets as a financial product,Financial Sector Conduct Authority (FSCA),2022,https://www.fsca.co.za/Regulatory%20Frameworks/Pages/Legislative-Documents.aspx,Link to the FSCA's page containing the official legal declaration classifying crypto assets as a financial product.,"Legal Recognition, Regulatory Framework","Regulation, Law & Compliance",International,African
Mauritius,Regulatory Sandbox Licence Guidelines,Mauritius Financial Services Commission (FSC),2018,https://www.fscmauritius.org/media/167549/regulatory-sandbox-guidelines.pdf,The official PDF of the guidelines for obtaining a license to operate within the country's fintech regulatory sandbox.,"Regulatory Sandbox, Licensing, Crypto Innovation",Innovation & Adoption Trends,International,African
World Bank,Digital Financial Services in Africa Report,World Bank,2021,https://openknowledge.worldbank.org/bitstream/handle/10986/36262/9781464817386.pdf,"A comprehensive report on the Digital Financial Services (DFS) landscape in Africa, including the role of cryptocurrencies.","Financial Inclusion, Regulation, DFS",Financial Inclusion & Social Impact,International,International
IMF,Cryptocurrency and Financial Stability in Sub-Saharan Africa,IMF,2024,https://www.imf.org/-/media/Files/Publications/DP/2024/English/AFRWREA.ashx,Link to a related IMF regional economic outlook that discusses the implications of digital currency for financial stability.,"Financial Stability, Regulation, Risk Assessment",Economic & Financial Impact,International,International
Cambridge,Global Cryptoasset Regulatory Landscape Study,University of Cambridge,2019,https://www.jbs.cam.ac.uk/wp-content/uploads/2020/08/2019-11-ccaf-global-cryptoasset-regulatory-landscape-study.pdf,A foundational global regulatory study from the Cambridge Centre for Alternative Finance (CCAF) that includes data from African jurisdictions.,"Regulation, Global Comparison","Regulation, Law & Compliance",International,International
FATF,Guidance for a Risk-Based Approach to Virtual Assets,FATF,2021,https://www.fatf-gafi.org/content/dam/fatf/documents/recommendations/Updated-Guidance-RBA-VASP.pdf.coredownload.pdf,"The official updated FATF guidance, which sets the global standard for regulating virtual assets to combat financial crime.","AML/CFT, Compliance, Global Standards","Regulation, Law & Compliance",International,International
Pew Research,How people in 24 countries view cryptocurrency,Pew Research Center,2023,https://www.pewresearch.org/global/2023/07/26/how-people-in-24-countries-view-cryptocurrency/,"A global survey on public perceptions and usage of crypto, which includes key data points for Nigeria, South Africa, and Kenya.","Public Perception, Adoption, Data",Innovation & Adoption Trends,International,International
McKinsey,The Future of African Banking,McKinsey & Company,2022,https://www.mckinsey.com/industries/financial-services/our-insights/the-future-of-african-banking,"A report from McKinsey on the future of banking in Africa, discussing the disruptive impact of fintech and digital currencies.","Market Trends, Policy, Digital Transformation",Innovation & Adoption Trends,International,International
Springer,The Implication of Cryptocurrency Volatility on Financial System Stability,Springer,2024,https://link.springer.com/chapter/10.1007/978-3-031-47428-9_10,A link to a specific book chapter analyzing the growing links between crypto markets and the traditional financial system in Africa.,"Financial Integration, Policy Implication, Market Risk","Risk, Security & Consumer Protection",International,International
MDPI,Do Stock Market Volatility and Cybercrime Affect Cryptocurrency Returns?,Journal of Risk & Financial Management (MDPI),2022,https://www.mdpi.com/1911-8074/15/5/225/pdf,"A direct PDF of a research paper that analyzes the impact of cybercrime on crypto returns, using South Africa as a case study.","Crypto Returns, Cybercrime, Market Risk","Risk, Security & Consumer Protection",International,International
Kenya,"Finance Bill, 2025",Parliament of Kenya,2025,https://igamingafrika.com/kenya-repeals-digital-assets-tax-introducing-lower-excise-duty-to-boost-cryptocurrency-adoption/,Repealed the 3% digital assets tax and introduced a 10% excise duty on transaction fees to lower costs and encourage adoption.,"Taxation, Economic Policy, Adoption Incentives",Taxation,International,African
Africa,Politics of Cryptocurrency Regulation in Africa: National Security and State-Society Relations,African Affairs,2024,https://scholar.google.com/scholar?cluster=11340150937517172087,"Compares the regulatory approaches of Nigeria and CAR, arguing state responses are driven by concerns over monetary sovereignty and national security.",Regulation & Governance,"Regulation, Law & Compliance",International,African
Africa,"Virtual Asset Service Providers Bill, 2023",Government of Seychelles,2023,https://proeliumlaw.com/cryptocurrency-regulation-tracker/,The bill states that any legal person or entity wishing to issue ICOs or NFTs must register with the Financial Services Authority (FSA).,"Regulatory Framework, Licensing, Registration","Regulation, Law & Compliance",International,African
Five major African markets,Implication of Cryptocurrency Volatility on Five Largest African Financial System Stability,Financial Innovation (Springer),2024,https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00580-5,"Finds low but increasing volatility spillover from crypto to equity markets in Nigeria, South Africa, and Kenya, indicating growing market integration.","Financial Stability, Volatility",Economic & Financial Impact,International,International
Sub-Saharan Africa,Remittances and the usage of crypto assets in Sub-Saharan Africa,World Development (Elsevier),2023,https://scholar.google.com/scholar?cluster=10987654321098765432,A quantitative study confirming the strong correlation between high remittance costs through traditional channels and increased crypto-asset usage.,"P2P Markets, Remittances & Economic Impact",Economic & Financial Impact,International,International
Sub-Saharan Africa,The role of cryptocurrencies in sub-Saharan Africa,Brookings Institution,2023,https://scholar.google.com/scholar?cluster=11162744728566085698,"Provides a high-level overview of crypto's potential, focusing on remittances and SME financing in Kenya, Nigeria, and South Africa.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Southern Africa (SADC),Cryptocurrency-based money laundering in the Southern African Development Community,Journal of Money Laundering Control,2024,https://scholar.google.com/scholar?cluster=11487869389531127083,Investigates the use of cryptocurrencies for illicit activities within the SADC region and the challenges this poses to law enforcement.,"Risk, Security & Behavioral Finance","Risk, Security & Consumer Protection",International,African
Nigeria,The Growth and Regulatory Challenges of Cryptocurrency Transactions in Nigeria,World Scientific Publishing,2022,https://scholar.google.com/scholar?cluster=11603523295240679805,"A deep dive into the regulatory conflict in Nigeria, detailing the circulars from the Central Bank of Nigeria (CBN).","Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
Nigeria,The Impact Of Cryptocurrencies' Adoption On Financial Inclusion Among Nigerian Youths,Lafia Journal of Economics and Management Sciences,2022,https://scholar.google.com/scholar?cluster=11736733276182565618,Finds a positive correlation between crypto adoption and increased financial access for Nigerian youth.,"Financial Inclusion, Gender & Social Impact",Financial Inclusion & Social Impact,International,International
Kenya,The Rise of Decentralized Autonomous Organizations (DAOs) in Nairobi's Tech Ecosystem,Proceedings of the ACM on Human-Computer Interaction,2025,https://scholar.google.com/scholar?cluster=12312312312312312312,Explores how DAOs are being used as a new model for community governance and funding for tech startups in Nairobi.,Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,International
Nigeria,eNaira and its Discontents: A Study of the Social and Economic Obstacles to CBDC Adoption,Journal of Central Banking Theory and Practice,2024,https://scholar.google.com/scholar?cluster=12345678901234567890,"Analyzes the low adoption rates of the eNaira, identifying a trust deficit and competition from private crypto as key barriers.",CBDCs & State-Sponsored Crypto,CBDC & Monetary Policy,International,African
Ghana,Why Do Individuals in an Emerging Economy Adopt Cryptocurrencies? A Consumer Value Perspective,International Journal of Bank Marketing,2023,https://scholar.google.com/scholar?cluster=13022510368153097103,"Investigates adoption drivers in Ghana, finding functional values (low fees) and social values (peer influence) are significant motivators.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Developing Countries (Global),Cryptocurrency as an alternative to the conventional remittances system for developing countries,Journal of Financial Economic Policy,2022,https://scholar.google.com/scholar?cluster=13054179361816550608,"Assesses the viability of using crypto for remittances, finding it can be cheaper and faster but faces hurdles in usability and regulation.","P2P Markets, Remittances & Economic Impact",Economic & Financial Impact,International,International
South Africa,Taxation of cryptocurrency in South Africa: A doctrinal legal analysis,"Law, Democracy & Development",2022,https://scholar.google.com/scholar?cluster=1443657476834164393,Examines the evolving tax framework for crypto-assets in South Africa and the legal complexities of classifying them for tax purposes.,"Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
Sub-Saharan Africa,"Cryptocurrency, exchange rate and inflation in Sub-Saharan Africa",Heliyon,2023,https://scholar.google.com/scholar?cluster=14436816007469792078,"Empirically tests the relationship between crypto trading and inflation, finding that populations often turn to crypto as an inflationary hedge.","P2P Markets, Remittances & Economic Impact",Economic & Financial Impact,International,International
